1,21 - 1, Mixed Cocktail, Tall Highball, Lime Wheel, Mother`s Day, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, Dash Grenadine, In Shaker, mix ingredients, pour over ice,
2,21 - 2, Mixed Cocktail, Collins, Orange Slice & Lime Wheel, Green, 1 1/4 oz. Coconut Rum, 3/4 oz. Melon Liqueur, 2 oz. Orange juice, 2 oz. Pineapple juice, Pour Over 1 oz. Soda, In Shaker, mix ingredients, pour over ice
3,21 - 3, Mixed Cocktail, Highball Glass, Pineapple, Any, 1 1/2 oz. Early Times, 1 oz. Apricot Brandy, 2 oz. Pineapple juice, Club Soda, Shake ingredients with ice; pour into highball glass; stir in club soda,,,
4,57 T - Birds (California Plates), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Scotch, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
5,57 T - Birds (Cape Cod Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Cranberry juice, In Shaker, mix ingredients with ice and strain into glass,,,
6,57 T - Birds (Florida Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Grapefruit juice, In Shaker, mix ingredients with ice and strain into glass,,,
7,57 T - Bird, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Grand Marnier, 1/2 oz. Amaretto Di Saronno, splash Pineapple juice, Fill shaker half full with ice, add ingredients; stir; strain into rocks glass,,
8,77 Sunset Strip - 1, Martini, Chilled Cocktail, 3 Speared Cocktail Onions, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,,
9,77 Sunset Strip - 2, Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Amaretto, 1/2 oz. Vodka, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,
10,77 Sunset Strip - 3, Shooter, Cordial, None, 4th of July, 1/2 oz. Creme de Noya, 1/2 oz. White Creme de Menthe, 1/2 oz. Blue Curacao, Pour Liqueurs in the order they are listed,,,,
11,7th - Inning Stretch, Mixed Cocktail, Cocktail Glass, None, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Mix ingredients and pour into cocktail glass,,,,
12,Adam`s Apple - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,
13,Adam`s Apple - 2, Martini, Chilled Cocktail, Lemon Twist, Any, 1 oz. Harvey`s Bristol Cream, 1 oz. Dubonnet, In Shaker, mix ingredients with ice and strain into glass,,,,
14,Adam`s Apple - 3, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Finlandia Vodka, Pour Finlandia vodka over ice, fill with apple cider, stir,,,,
15,Adios Mother - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
16,Adios Mother - 2, Highball, Tall Highball, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
112,Bloody Bull, Mixed Cocktail, Collins, Lime Squeeze & Celery, Brunch, 1 1/4 oz. Vodka, 2 oz. Beef Broth, 2 oz. Bloody Mary Mix, Pour ingredients as listed over ice,,,
113,Bloody Jack - 1, Mixed Cocktail, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 1/2 oz. Water, Salt Rim, In Shaker, mix ingredients with ice and strain into glass,,
114,Bloody Jack - 2, Mixed Cocktail, Tall Glass, None, Halloween, 1 part Jack Daniel`s, Bloody Mary Mix, Mix ingredients as listed,,,,,,
115,Bloody Mary, Mixed Cocktail, Collins, Lime Squeeze & Celery, Brunch, 1 1/4 oz.Vodka, 4 oz. Bloody Mary Mix, Pour ingredients as listed over ice,,,,,,
116,Bloody Mist - 1, Ice Cream Drink, Tall Specialty, None, Any, 3/4 oz. Maple Syrup, 1 oz. Brandy, 1 oz. White Creme de Cacao, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
117,Bloody Mist - 2, Mixed Cocktail, Tall Glass, None, Any, 1 1/2 oz. Canadian Mist, 4 oz. Tomato juice, 3 drops Worcestershire Sauce, 3 drops Tabasco Sauce, 2 sliced Limes, Mix ingredients as listed,,,
118,Blue Horizon (Frozen), Frozen Drink, Tall Specialty (rimmed with blue salt), Lime Wheel dipped in blue salt, Blue, 1 oz. Spiced Rum, 1 oz. Tequila, 1 oz. Margarita Mix, 1 Scoop Crushed Ice, Float 1/4 oz. Blue Curacao on top, Combine ingredients 1-4 in blender, blend until smooth,,
119,Blue Horizon (Rocks), Mixed Cocktail, Tall Specialty (rimmed with blue salt), Lime Wheel dipped in blue salt, Blue, 1 oz. Spiced Rum, 1 oz. Tequila, 1 oz. Margarita Mix, 1 oz. Water, Float 1/4 oz. Blue Curacao on top, In Shaker, mix ingredients 1-4, pour over ice,
120,Blue Margarita, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Blue Curacao, 1/2 oz. Triple Sec, 2 oz. Sweet and Sour Mix, Mix ingredients as listed,,,,
121,Blue Monday, Mixed Cocktail, Collins, Orange Slice & Cherry, Blue, 1 1/4 oz. Rum, 1/2 oz. Blue Curacao, 1 1/2 oz. Half & Half, 1 1/2 oz. Orange juice, In Shaker, mix ingredients, pour over ice,,
122,Blue Passion, Mixed Cocktail, Collins, Orange Slice & Cherry, Blue, 1 1/4 oz. Rum, 1/2 oz. Blue Curacao, 3 oz. Sweet & Sour Mix, In Shaker, mix ingredients, pour over ice,,,
123,Blue Popper, Shooter, Shot Glass, None, Any, 1 oz. Pepe Lopez Tequila, 1/4 oz. Blue Curacao, Mix ingredients as listed,,,,,,
124,Blue Sapphire, Martini, Chilled Cocktail, Lemon Twist, Blue, 2 oz. Premium Gin, 1/4 oz. Blue Curacao, In Shaker, mix ingredients with ice and strain into glass,,,,,
125,Blue Skyy Lemonade (Blue) - 1, Ice Cream Drink, Tall Specialty, Strawberry, Any, 1 oz. Pureed Strawberries, 1 1/4 oz. Vodka, 1 oz. Cream of Coconut, 1 oz. Chocolate Syrup, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
126,Blue Skyy Lemonade (Blue) - 2, Martini, Martini, Lemon wedge, Any, 1 oz. SKYY VODKA, 1 oz. Blue Curacao, 4 oz. lemonade, Shake well. Pour into ice cube-filled Collins glass,,,,,
127,Blue Sunrise, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Blue Curacao, 1/2 oz. Triple Sec, 2 oz. Sweet and Sour Mix, Mix ingredients as listed,,,,
128,Blueberry Triathlon, Smoothie, Collins, None, Blue, 2 oz. Plain Yogurt, 2 oz. Blueberries with juice, 2 oz. Grape juice, 1 oz. Cream of Coconut, 1/2 oz. Honey, 1/2 tsp. Chopped Pecans, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
129,Bluegrass Sunrise, Mixed Cocktail, Rocks Glass, None, Kentucky Derby, 1 1/2 oz. Jack Daniel`s, Orange juice, dash Grenadine, Mix ingredients as listed,,,,,
130,Bomb, Mixed Cocktail, Tall Glass, None, 4th of July, 1/2 oz. Jack Daniel`s, 1/2 oz. Scotch, 1/2 oz. Bacardi 151 Proof Rum, 1/2 oz. Dark Rum, dash Grenadine, 2 oz. Orange juice, 2 oz. Pineapple juice, Mix ingredients as listed,
131,Bon Voyage, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Southern Comfort, 1 oz. Tequila, 1/2 oz. Amaretto,  Pineapple juice,  Orange juice, Fill tall glass with ice. Add Southern Comfort, tequila and amaretto. Fill remainder of glass with equal parts pineapple and orange juice and stir,,
132,Bone Crusher, Mixed Cocktail, Collins, None, Pink, 1/2 oz. Rum, 1/2 oz. Gin, 1/2 oz. Triple Sec, 2 oz. Sweet & Sour Mix, Top with 1 oz. Cranberry juice, and 1 oz. Champagne, Pour ingredients as listed over crushed ice,,
133,Bop The Princess, Mixed Cocktail, Rocks Glass, Cherry and lemon, Kentucky Derby, 2 oz. Jack Daniel`s, 2 oz. Cranberry juice, 2 oz. 7-Up, Cherry, Lemon, Mix ingredients as listed,,,
134,Border Thrill, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Southern Comfort, 1/2 oz. Pepe Lopez Tequila, 1/4 oz. Triple Sec, 1 oz. Sweet and Sour Mix, Orange juice, Grenadine, Mix ingredients as listed,,
135,Boss, Mixed Cocktail, Short Glass, None, Any, 3/4 oz. Jack Daniel`s, 1/2 oz. Amaretto, Mix ingredients as listed,,,,,,
136,Boston Tea Party, Mixed Cocktail, Collins, Lemon Squeeze, Any, 1/2 oz. Rum, 1/2 oz. Gin, 1/2 oz. Vodka, 1 oz. Sweet & Sour Mix, Top with 1/4 oz. Coffee Liqueur, 1/2 oz. Orange Brandy Liqueur and a Splash of Cola, In Shaker, mix ingredients, pour over ice
137,Bourbon Bang, Mixed Cocktail, Sour Glass, Cherry and orange slice, 4th of July, 1 1/2 oz. Early Times, 1/2 oz. Apricot Brandy, 1 oz. Lemon juice, 1 tsp Sugar, Shake ingredients with ice; strain into sour glass,,,,
138,Bourbon Blizzard, Frozen Drink, Rocks Glass, None, Any, 4 oz. Early Times, 1 1/2 oz. Cranberry juice, 1 oz. Lemon juice, 2 Tbsp Sugar, Blend ingredients at high speed; add ice until punch is snow; serves two in rocks glasses,,,,
139,Bourbon Mary, Mixed Cocktail, Highball Glass, Lime wedge, Any, 1 1/2 oz. Early Times, Add ingredients to highball glass filled with ice,,,,,,,
140,Bourbon Nitecap, Mixed Cocktail, Rocks Glass, None, Any, 2 oz. Early Times, 1/2 oz. White Creme de Menthe, 1/2 oz. Coffee Liqueur (Kahlua), Stir ingredients in rocks glass; add ice and serve,,,,,
141,Bourbon Street, Shooter, Short Glass, None, Any, 2/3 oz. Jack Daniel`s, 1/3 oz. Amaretto, Mix ingredients as listed,,,,,,
142,Brandy Alexander - 1, Ice Cream Drink, Tall Specialty, Nutmeg, Brunch, 1 oz. Brandy, 1 oz. Dark Creme de Cacao, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
143,Brandy Alexander - 2, Martini, Chilled Cocktail, Nutmeg, Brunch, 3/4 oz. Brandy, 3/4 oz. Dark Creme de Cacao, 1 oz. Half & Half, In Shaker, mix ingredients with ice and strain into glass,,,,
144,Brandy Alexander - 3, Frozen Drink, Tall Specialty, Strawberry & Lime Wheel, Cinco de Mayo, 2 oz. Pureed Strawberries, 1 1/4 oz. Tequila, 1/2 oz. Triple Sec, 1 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
145,Brandy Alexander - 4, Mixed Cocktail, Stemmed Glass, None, Winter, 1 oz. Korbel Brandy, 1 oz. White Creme de Cocoa, 2 oz. Milk, 1 c Vanilla Ice Cream, Mix all ingredients in a blender until smooth. Pour into a stemmed glass,,,,
146,Brandy Chocolate Alexander, Hot Drink, Footed Glass Mug, Preheated, Aerosol Whipping Cream, Brunch, 3/4 oz. Brandy, 3/4 oz. Dark Creme de Cacao, 1 oz. Half & Half, Hot Chocolate OR 1/2 oz. Chocolate Syrup, Fill with Half & Half, Steam Until Hot, Pour ingredients as listed into preheated mug,
147,Brandy Ice, Ice Cream Drink, Tall Specialty, Nutmeg, Any, 1 1/4 oz. Brandy, 1/2 oz. Vanilla Extract, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
148,Brandy Milk Punch, Mixed Cocktail, Tall Specialty, Nutmeg, Brunch, 1 1/4 oz. Brandy, 1 oz. Dark Creme de Cacao, 1/2 oz. Simple Syrup, 3 oz. Milk, Dash Vanilla Extract, In Shaker, mix ingredients, pour over ice,
149,Brass Knuckles - 1, Mixed Cocktail, Collins, Lime Squeeze, Any, 3/4 oz. Bourbon, 3/4 oz. Triple Sec, 1/2 oz. Lime Juce, 1/2 oz. Simple Syrup, Fill with lemon-lime soda, Pour ingredients as listed over crushed Ice,,,
150,Brass Knuckles - 2, Mixed Cocktail, Sour Glass, None, Any, 1 1/2 oz. Jack Daniel`s, 1/2 oz. Triple Sec, Sour Mix, Mix ingredients as listed,,,,,
151,Brave Bull - 1, Highball, Tall Rocks, None, Cinco de Mayo, 1 1/2 oz. Tequila, 3/4 oz. Coffee Liqueur, Pour ingredients as listed over ice,,,,,,
152,Brave Bull - 2, Mixed Cocktail, Short Glass, None, Any, Any, Mix ingredients as listed,,,,,,,
153,Brazilian Munk, Ice Cream Drink, Tall Specialty, None, Any, 3/4 oz. Hazelnut Liqueur, 3/4 oz. Coffee Liqueur, 3/4 oz. Dark Creme de Cacao, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
154,Broken Leg - 1, Mixed Cocktail, Collins, Lemon Squeeze, Any, 1/2 oz. Gin, 1/2 oz. Vodka, 1/2 oz. Rum, 1/2 oz. Triple Sec, 2 oz. Sweet & Sour Mix, Top with Cola, In Shaker, mix ingredients, pour over ice
155,Broken Leg - 2, Mixed Cocktail, Short Glass, None, Any, 1 oz. Jack Daniel`s, 5 oz. Apple juice, Cinnamon Stick, Lemon Wedge, Mix ingredients as listed,,,,
156,Bronx Cocktail, Martini, Chilled Cocktail, Orange Slice, Any, 1 oz. Gin, 1/2 oz. Sweet Vermouth, 1/2 oz. Dry Vermouth, 1 oz. Orange juice, In Shaker, mix ingredients with ice and strain into glass,,,
157,Brown Bear - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 Sugar Cube, Add Coffee and Muddle, 1 1/4 oz. Coffee Liqueur, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,,
158,Brown Bear - 2, Mixed Cocktail, Short Glass, None, Any, 1 1/2 oz. Early Times, 3/4 oz. Coffee Liqueur (Kahlua), Build,,,,,,
159,Bubble Gum, Shooter, Shot Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Amaretto, 1/2 oz. Creme de Banana, 1 oz. Milk, dash Grenadine, Combine ingredients in shaker glass filled with ice, stir then strain into a shot glass,,
160,Bucking Bronco, Mixed Cocktail, Tall Glass, 8 inch sipstix, Any, 1 1/2 oz. Southern Comfort, Orange juice, Use 14 oz. Gibralter Tall Glass,,,,,,
161,Budget Punch #2, Punch, Punch Bowl, None, Any, 1 bottle Southern Comfort, 1 qt Orange Pekoe Tea, 1 pint Pineapple juice, 1 pint Grapefruit juice, 1 qt 7-Up, 2 jiggers Dark Jamaica Rum, Serve cold; chill with ice; decorate with cherries, orange, and lemon slices
162,Buffalo Blood, Mixed Cocktail, Brandy Snifter, None, Any, 1/2 oz. Jack Daniel`s, 1/2 oz. Blackberry Brandy, Mix ingredients as listed,,,,,,
163,Buffalo Sweat, Shooter, Shot Glass, None, Any, 1 oz. Jack Daniel`s, dash Tabasco Sauce, Mix ingredients as listed,,,,,,
164,Bug juice, Mixed Cocktail, Sour Glass, None, Any, 1 oz. Jack Daniel`s, 1 oz. Midori, 1 oz. Sour Mix, 3 oz. 7-Up, Mix ingredients as listed,,,,
165,Bull Shot, Mixed Cocktail, Collins, Lime Squeeze & Celery, Brunch, 1 1/4 oz. Vodka, 4 oz. Beef Broth, Dash Pepper Sauce, Dash Salt & Pepper, Dash Worcestershire Sauce, Pour ingredients as listed over ice,,,
166,Bung Slinger, Mixed Cocktail, Short Glass, Orange slice and a cherry, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Combine ingredients, add ice and stir,,,,
167,Burnt Almond, Ice Cream Drink, Tall Specialty, None, Any, 1 oz. Coffee Liqueur, 1 oz. Amaretto, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
168,Bushmills And Soda, Mixed Cocktail, Rocks Glass, None, St. Patrick`s Day, 1 1/2 oz. Bushmills Irish Whiskey, 5 oz. Club Soda, Mix ingredients and serve over ice with a twist of lemon,,,,,,
169,Bushmills Collins, Mixed Cocktail, Collins Glass, Lime wedge, Any, 1 1/2 oz. Bushmills Irish Whiskey, 1 1/2 oz. Sweet and Sour Bar Mix, Ice Cubes, Club Soda, Mix ingredients; add ice, club soda,,,
170,Bushmills Sour - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 Sugar Cube, Add 1 inch Coffee and Muddle, 1 1/4 oz. Coffee Liqueur, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,,,
171,Bushmills Sour - 2, Mixed Cocktail, Short Glass, Cherry and orange slice, Any, 1 1/2 oz. Bushmills Irish Whiskey, 4 oz. Sweet and Sour Bar Mix, 1 oz. Club Soda, Shake or stir with ice, strain into glass,,,,
172,Bushmills Tea, Mixed Cocktail, Tall Glass, Lemon twist, Mother`s Day, 1 1/2 oz. Bushmills Irish Whiskey, 6 oz. Iced Tea, Serve in a tall glass over ice,,,,,,
173,Butter Pecan, Ice Cream Drink, Tall Specialty, Chopped pecans, Any, 1 1/4 oz. Hazelnut Liqueur, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1 Tbs. Chopped Pecans, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
174,Butterball, Shooter, Chilled Rocks, None, Thanksgiving, 1 oz. Irish Cream, 1/2 oz. Coffee Liqueur, 1/2 oz. Butterscotch Schnapps, In Shaker, mix ingredients with ice and strain into glass,,,,
175,Butterfly Flick, Mixed Cocktail, Collins, Orange Slice, Orange, 1 1/4 oz. Rum, 1 oz. Tuaca, 3 oz. Orange juice, Pour ingredients as listed over ice,,,,,
176,Butterscotch Blitz, Mixed Cocktail, Short Glass, None, Any, 3/4 oz. Korbel Spiced Brandy, 1/2 oz. Finlandia Vodka, 1/4 oz. Butterscotch Schnapps, Mix ingredients as listed,,,,,
177,Cablegram, Mixed Cocktail, Sour Glass, Lemon wedge, Any, 2 oz. Canadian Mist, 1/2 oz. Sour Mix, 1 tsp Sugar Syrup, Ginger Ale, Lemon Wedge, Fill with ginger ale,,,,
178,Cactus Kicker - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Imported Vodka, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,,,
179,Cactus Kicker - 2, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Jack Daniel`s, 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Triple Sec, 1/2 oz. Lime juice, Mix ingredients as listed,,,,,
180,Cactus Kicker - 3, Mixed Cocktail, Short Glass, Salt rim and lime, Any, 1 oz. Jack Daniel`s, 1/2 oz. Pepe Lopez Tequila, 1/2 oz. Sweet and Sour Mix, 1 oz. 7-Up, Mix ingredients as listed,,,,,
181,Cactus Kicker - 4, Shooter, Shot Glass, None, Any, 1/2 part Jack Daniel`s, 1/2 part Pepe Lopez Tequila, 1/2 part Triple Sec, 1/2 part Lime juice, Mix ingredients as listed,,,,,
182,Cadillac Defroster, Shooter, Shot Glass, None, Any, 1/3 oz. Jack Daniel`s, 1/3 oz. Southern Comfort, 1/3 oz. Grand Marnier, Float Grand Marnier,,,,,,
183,Cafe Amore, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 3/4 oz. Tuaca, 3/4 oz. Praline or Pecan Liqueur, Fill with Hot Coffee, Cinnamon/Sugar Rim, Combine ingredients as listed into preheated mug,,,,
184,Cafe Bavarian Mint, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Chocolate Mint Liqueur, 1/2 oz. Dark Creme de Cacao, 1/2 oz. White Creme de Cacao, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,,,
185,Cafe Bistro, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/4 oz. Gin, 1/4 oz. Rum, 1/4 oz. Dark Creme de Cacao, 1/4 oz. Amaretto, 1/4 oz. Coffee Liqueur, 1/2 oz. Chocolate Syrup, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,
186,Cafe Diana, Coffee Drink, Coffee Mug, None, Any, 4 oz. Southern Comfort, 2 tsp Cocktail Orange Syrup, 4 Minced Maraschino Cherries, 4 Cloves (whole), 2 tsp Maraschino Cherry juice, 1/4 tsp Powdered C, Mix ingredients as listed,,,
187,Cafe Henry 3, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Galliano, 1/4 oz. Coffee Liqueur, 1/4 oz. Brandy, 1/2 oz. Orange Brandy Liqueur, Fill with Hot Coffee, Cinnamon/Sugar Rim, Combine ingredients as listed into preheated mug,,
188,Cafe International, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Metaxa, 1/2 oz. Galliano, 1/2 oz. Coffee Liqueur, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,,,
189,Cafe L`amore, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/4 oz. Gin, 1/4 oz. Rum, 1/4 oz. Dark Creme de Cacao, 1/4 oz. Amaretto, 1/4 oz. Coffee Liqueur, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,
190,Cafe Michel, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/4 oz. Gin, 1/4 oz. Rum, 1/4 oz. Dark Creme de Cacao, 1/4 oz. Amaretto, 1/4 oz. Coffee Liqueur, 3/4 oz. Irish Cream, 1/2 oz. Chocolate Syrup, Fill with, Combine ingredients as listed into preheated mug
191,Cafe Nelson, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 3/4 oz. Irish Cream, 3/4 oz. Hazelnut Liqueur, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,,,,
192,Cafe Oscar, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 3/4 oz. Coffee Liqueur, 3/4 oz. Amaretto, Fill with Hot Coffee, Sugar Rim, Combine ingredients as listed into preheated mug,,,,
193,Cafe Praline Royale, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 3/4 oz. Praline or Pecan Liqueur, 3/4 oz. Brandy, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,
194,Cafe Reese - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Coffee Liqueur, 1/2 oz. Irish Cream, 1/2 oz. Amaretto, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,
195,Cafe Reese - 2, Hot Drink, Footed Glass Mug, Preheated, Aerosol Whipping Cream, Any, 1 1/4 oz. Amaretto, Hot Chocolate, Pour ingredients as listed into preheated mug,,,
196,Cafe Reggae, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1/2 oz. Dark Creme de Cacao, 1/2 oz. Gold Rum, 1/2 oz. Coffee Liqueur, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,
197,Cafe Royal - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 1/4 Bourbon, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,,,
198,Cafe Royal - 2, Hot Drink, Coffee Mug, None, Any, 1 1/2 oz. Early Times, Sugar, Coffee, Mix ingredients as listed,,,
199,Cafe Toledo, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 3/4 oz. Coffee Liqueur, 3/4 oz. Irish Cream, 1/2 oz. Chocolate Syrup, Fill with Hot Coffee, Combine ingredients as listed into preheated mug,
200,Cajun Southern Comforter, Mixed Cocktail, Rocks Glass, Jumbo shrimp, Any, 1 1/2 oz. Southern Comfort, 1/2 oz. Jack Daniel`s, Pour ingredients on rocks; add a dash of Tabasco Sauce into 12 oz. rocks glass,,,,
201,Californian, Mixed Cocktail, Highball Glass, Pineapple wedge, Any, 1 oz. Early Times, 1 oz. Creme de Banana, 1/2 oz. Triple Sec, 1/2 oz. Lemon juice, 2 oz. Pineapple juice, Combine ingredients in blender with ice; pour in highball glass half filled with cracked ice; add straw,
202,Canada Cocktail - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/2 oz. Margarita Mix, 1 1/4 oz. Tequila, 1/2 oz. Triple Sec, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
203,Canada Cocktail - 2, Mixed Cocktail, Short Glass, Orange wedge, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Triple Sec, 2 dashes Bitters, 1 tsp Sugar, Orange Wedge, Mix ingredients as listed,
204,Canadian Cider, Mixed Cocktail, Poco Grande Glass, None, Any, 1 oz. Canadian Mist, 2 c Crushed Ice, 1/2 oz. Cinnamon Schnapps, 3 oz. Apple Cider, 1/4 Red Apple, Mix in blender; blend until smooth,
205,Canadian Goose - 1, Ice Cream Drink, Tall Specialty, None, Any, 1 oz. Coffee Liqueur, 1 oz. Rum, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
206,Canadian Goose - 2, Mixed Cocktail, Short Glass, None, Any, 1 part Canadian Mist, 1 part White Creme de Menthe, 1 part Creme de Cacao, Mix ingredients as listed,,,
207,Canadian Heartbreak, Mixed Cocktail, Short Glass, None, Valentine`s Day, 1 oz. Canadian Mist, 2 oz. Cranberry juice, 3 oz. Ginger Ale, Mix ingredients as listed,,,
208,Canadian Java, Hot Drink, Coffee Mug, None, Any, 1 1/2 oz. Canadian Mist, 7 oz. Coffee, Mix ingredients as listed,,,,
209,Canadian Rose, Mixed Cocktail, Rocks Glass, None, Any, 1 oz. Canadian Mist, 5 oz. Cherry 7-Up, Mix ingredients as listed,,,,,,
210,Canadian Snow Shoe, Shooter, Shot Glass, None, Any, 2 oz. Canadian Mist, 1 oz. Peppermint Schnapps, Mix ingredients as listed,,,,,,
211,Canasta Punch, Punch, Punch Bowl, None, Any, 1 bottle Southern Comfort, 16 oz. can Grapefruit juice, 8 jiggers Lemon juice, 2 qts 7-Up, Serve cold; chill with ice; decorate with cherries, orange and lemon slices,,,
212,Candied Jack Manhattan - 1, Mixed Cocktail, Stemmed Glass, None, Any, 1 part Jack Daniel`s, 1/2 part Brown Cacao, 1/2 part Peppermint Schnapps, Add chocolate mint,,,,,
213,Candied Jack Manhattan - 2, Wine Drink, Wine, Lemon Twist, Any, 6 oz. Chablis, 1/2 oz. Creme de Cassis, Pour ingredients as listed,,,,,,
214,Candy Bar, Mixed Cocktail, Short Glass, None, Any, 1 oz. Southern Comfort, 3/4 oz. Coffee Liqueur (Kahlua), 1/4 oz. Grenadine, Mix ingredients as listed,,,,,
215,Candy Cane, Ice Cream Drink, Tall Specialty, Swirl glass with Grenadine from bottom to top; quickly add the drink to freeze and hold, Winter, 1 oz. White Creme de Cacao, 1 oz. Peppermint Schnapps, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
